# omega(eV)     n     kappa     alpha(1/m)
3.84769539     4.62222440     5.33646124     208112213.32671353
3.90781563     4.11770459     5.27191957     208807631.25342685
3.96793587     3.70200358     5.15757128     207421326.98189738
4.02805611     3.37691639     4.92051569     200885993.89676943
4.08817635     3.25373280     4.71553243     195390697.48239854
4.14829659     3.14542122     4.64512922     195303993.94676736
4.20841683     2.96731167     4.58519183     195577902.61404648
4.26853707     2.77244107     4.44067738     192119657.99089667
4.32865732     2.69706809     4.21520815     184933571.51007050
4.38877755     2.77660420     4.07742494     181373180.53335485
4.44889780     2.87266762     4.11596092     185595395.41125840
4.50901804     2.83506082     4.27577908     195407287.36059654
4.56913828     2.63225923     4.38383006     203016594.15273657
4.62925852     2.39168351     4.35416345     204295917.18136469
4.68937876     2.22172594     4.23097271     201093976.09754142
4.74949900     2.13202229     4.10082789     197407145.46698180
4.80961924     2.10865223     3.99663979     194827038.93487576
4.86973948     2.10985362     3.97230966     196061513.25743324
4.92985972     2.05293195     3.99540718     199636125.59853816
4.98997996     1.94970212     4.00497261     202554491.38461077
5.05010020     1.81018539     3.98218734     203828640.70577800
5.11022044     1.67106224     3.88342397     201139778.38361692
5.17034068     1.61073592     3.74607127     196308326.67862982
5.23046092     1.61697827     3.64351563     193154185.54139391
5.29058116     1.65204171     3.60555489     193338799.42024162
5.35070140     1.65285588     3.64431488     197637856.75695598
5.41082164     1.56356260     3.69033402     202382250.13830560
5.47094188     1.42833729     3.66808732     203397350.69352904
5.53106212     1.32096653     3.57720729     200537764.15968320
5.59118236     1.27200692     3.47289687     196806332.84864533
5.65130260     1.26073955     3.39217900     194299126.87493530
5.71142285     1.25708282     3.34379843     193565489.41062018
5.77154309     1.24792180     3.30681652     193439680.67465478
5.83166333     1.24961423     3.29488846     194749650.19837120
5.89178357     1.20622779     3.31962046     198234273.47739515
5.95190381     1.11499303     3.30168098     199174867.45881611
6.01202405     1.04292551     3.23452444     197094575.67357725
6.07214429     1.01209935     3.16455111     194759083.77269232
6.13226453     0.99098884     3.11609730     193675825.90599787
6.19238477     0.96585867     3.07054794     192715808.76442927
6.25250501     0.95131229     3.02146281     191476211.99898914
6.31262525     0.95050999     2.99482318     191612889.55115885
6.37274549     0.92287662     2.99055468     193162068.60349450
6.43286573     0.87137949     2.96238790     193147876.39150041
6.49298597     0.83304383     2.90800169     191373872.09515390
6.55310621     0.82647145     2.86084607     190013835.03449467
6.61322645     0.81094502     2.84138518     190452654.87693286
6.67334669     0.77441759     2.81322387     190279283.33147293
6.73346693     0.74534456     2.76170485     188477503.02848038
6.79358717     0.74390057     2.71434341     186899212.11670980
6.85370741     0.74468225     2.69406283     187144386.94392329
6.91382766     0.72500883     2.67819184     187673847.55002150
6.97394790     0.70250133     2.65263195     187499114.20247623
7.03406814     0.68215658     2.62427043     187093493.38952240
7.09418838     0.66489657     2.59699336     186731282.94157282
7.15430862     0.64445898     2.57052241     186394284.50868312
7.21442886     0.62403863     2.53937313     185682938.29626548
7.27454910     0.60996497     2.50299326     184547975.69334736
7.33466934     0.60724447     2.47448266     183953679.60184380
7.39478958     0.59870257     2.45961698     184347320.07448947
7.45490982     0.57718334     2.44135617     184466311.07422853
7.51503006     0.55765417     2.41370907     183848109.94998515
7.57515030     0.54241578     2.38676852     183250462.88816321
7.63527054     0.52793376     2.35839967     182509451.82365960
7.69539078     0.51809001     2.32940671     181685189.31468865
7.75551102     0.51204676     2.30519841     181201694.83441040
7.81563126     0.50669728     2.28624070     181104624.18374670
7.87575150     0.49526204     2.27632605     181706305.78866625
7.93587174     0.47010251     2.26241885     181974768.51450491
7.99599198     0.44051843     2.23428901     181073636.53179950
8.05611222     0.42123697     2.19153662     178944256.57859212
8.11623246     0.42214313     2.14934546     176808942.96481371
8.17635270     0.43235903     2.12456353     176064932.38267002
8.23647295     0.43695332     2.11135806     176257129.00497851
8.29659319     0.43479363     2.10694016     177172177.01422614
8.35671343     0.41704405     2.10384290     178193698.45628709
8.41683367     0.38954124     2.08811820     178134217.01651728
8.47695391     0.36692469     2.05965025     176960699.33393115
8.53707415     0.35042585     2.02688682     175380812.59956107
8.59719439     0.34405554     1.98846265     173267739.72157598
8.65731463     0.35367137     1.95783998     171792388.91215345
8.71743487     0.36384303     1.94564367     171907783.69202921
8.77755511     0.36181180     1.94315874     172872283.84312055
8.83767535     0.34669232     1.93878802     173664838.69107309
8.89779559     0.32342292     1.92459283     173566063.20001268
8.95791583     0.30349408     1.89817685     172340431.60050413
9.01803607     0.29176936     1.86823324     170760173.70770136
9.07815631     0.28657436     1.83822175     169137178.99377599
9.13827655     0.28777859     1.81135082     167768489.37258002
9.19839679     0.29268132     1.79091291     166966803.16710621
9.25851703     0.29691986     1.77870119     166912149.54819623
9.31863728     0.29368353     1.77241274     167402059.40395817
9.37875752     0.28161202     1.76378803     167662224.17418319
9.43887776     0.26542788     1.74794879     167221683.96444610
9.49899800     0.25230414     1.72334688     165918198.36585468
9.55911824     0.24783553     1.69768519     164482053.82645866
9.61923848     0.24666564     1.67591034     163393583.20288974
9.67935872     0.24692512     1.65645232     162505868.77858719
9.73947896     0.24852274     1.64039115     161929757.60644144
9.79959920     0.24849300     1.62805897     161704449.93665433
9.85971944     0.24571420     1.61856911     161748152.60337162
9.91983968     0.23608909     1.60826141     161698064.17662641
9.97995992     0.22548382     1.59072006     160903718.42447600
10.04008016     0.21969141     1.57037607     159802796.35136321
10.10020040     0.21681886     1.55107819     158784171.04940164
10.16032064     0.21671209     1.53315311     157883399.03274354
10.22044088     0.21626579     1.51883944     157334883.40712467
10.28056112     0.21517587     1.50400723     156714892.25174552
10.34068136     0.21547236     1.49119237     156288258.80650488
10.40080160     0.21485283     1.48113393     156136581.81266305
10.46092184     0.21040080     1.47362198     156242642.03075397
10.52104208     0.20055730     1.46316753     156025770.90988213
10.58116232     0.19043088     1.44601465     155077786.81116864
10.64128256     0.18643744     1.42484712     153675901.67932895
10.70140281     0.18906096     1.40673877     152580028.90506700
10.76152305     0.19269763     1.39578149     152242076.64104798
10.82164329     0.19131658     1.38873944     152320202.83466437
10.88176353     0.18559297     1.37972292     152171979.08448654
10.94188377     0.17928092     1.36888097     151810324.50401884
11.00200401     0.17209393     1.35616463     151226442.69402421
11.06212425     0.16535317     1.34136520     150393509.03744841
11.12224449     0.16062509     1.32491337     149356265.08593038
11.18236473     0.15728683     1.30851748     148305312.21399966
11.24248497     0.15688086     1.29138600     147150558.19793746
11.30260521     0.15857057     1.27801760     146406015.03544474
11.36272545     0.15904128     1.26632403     145838062.80043173
11.42284569     0.15968191     1.25666280     145491155.97714546
11.48296593     0.15668186     1.24924584     145393675.20496327
11.54308617     0.15021597     1.23900446     144956713.41593370
11.60320641     0.14475689     1.22470328     144029821.84325901
11.66332665     0.14279238     1.21048283     143095045.35321853
11.72344689     0.14032747     1.19742667     142281283.33570474
11.78356713     0.13947258     1.18276176     141259472.63398010
11.84368738     0.14181461     1.17062652     140523455.37049621
11.90380761     0.14259481     1.16295328     140310991.62749094
11.96392786     0.13957922     1.15511005     140068563.18432388
12.02404810     0.13604907     1.14582846     139641285.08842146
12.08416834     0.13168463     1.13689190     139244954.03408957
12.14428858     0.12568220     1.12645123     138652594.14722753
12.20440882     0.11941156     1.11420555     137824234.43285120
12.26452906     0.11339626     1.09886905     136596742.38000718
12.32464930     0.11165607     1.08155264     135103237.59859836
12.38476954     0.11321091     1.06633711     133852343.65629056
12.44488978     0.11680537     1.05394061     132938483.41244243
12.50501002     0.11933755     1.04647362     132634301.61348253
12.56513026     0.11723167     1.04009588     132459739.85642810
12.62525050     0.11263687     1.03147534     131990410.73317437
12.68537074     0.10753628     1.02036713     131190729.68918534
12.74549098     0.10365914     1.00743645     130142083.30152191
12.80561122     0.10105600     0.99404353     129017683.51071128
12.86573146     0.09944238     0.97981232     127767649.33562706
12.92585170     0.10051868     0.96563759     126507669.59854494
12.98597194     0.10350176     0.95374794     125531175.71139504
13.04609218     0.10643138     0.94545066     125015204.87826529
13.10621243     0.10583625     0.93917628     124757839.61852317
13.16633267     0.10202315     0.93127329     124275492.94730029
13.22645291     0.09796216     0.91981323     123306669.89060134
13.28657315     0.09658057     0.90726249     122177001.31931983
13.34669339     0.09637248     0.89583152     121183515.99918152
13.40681363     0.09604566     0.88489389     120243135.29168476
13.46693387     0.09631842     0.87374524     119260623.81968577
13.52705411     0.09768515     0.86379246     118428482.04068850
13.58717435     0.09829529     0.85552104     117815753.94186218
13.64729459     0.09738743     0.84792424     117286261.61737944
13.70741483     0.09477493     0.83919728     116590495.11898653
13.76753507     0.09229572     0.82914460     115699102.80959606
13.82765531     0.09032243     0.81781566     114616592.34343882
13.88777555     0.09002433     0.80623270     113484519.80910921
13.94789579     0.09082854     0.79564785     112479431.73964870
14.00801603     0.09116765     0.78632896     111641181.85208067
14.06813627     0.09133942     0.77648304     110716427.89710721
14.12825651     0.09215224     0.76776133     109940658.20284969
14.18837675     0.09163245     0.75961696     109237283.15182287
14.24849699     0.09055655     0.75057792     108394779.56770328
14.30861723     0.09011429     0.74087713     107445289.89520767
14.36873747     0.09069956     0.73178933     106573250.21123095
14.42885771     0.09066274     0.72375649     105844415.71135087
14.48897796     0.09075975     0.71521046     105030427.93085147
14.54909820     0.09131419     0.70861044     104492987.36485264
14.60921844     0.08909959     0.70294586     104086016.54059520
14.66933868     0.08519706     0.69547408     103403444.73589775
14.72945892     0.08128029     0.68606194     102422092.94694766
14.78957916     0.07869208     0.67525214     101219761.87408033
14.84969940     0.07813046     0.66514180     100109530.97248256
14.90981964     0.07705938     0.65714209     99305934.04154675
14.96993988     0.07383236     0.64908232     98483474.26562707
15.03006012     0.06988893     0.63898350     97340570.41109878
15.09018036     0.06712796     0.62781215     96021319.79542634
15.15030060     0.06504720     0.61658304     94679586.29500706
15.21042084     0.06366284     0.60530800     93317086.41716564
15.27054108     0.06257261     0.59482756     92063828.30835509
15.33066132     0.06070694     0.58437686     90802420.18545476
15.39078156     0.05864006     0.57315999     89408759.15820424
15.45090180     0.05713408     0.56110661     87870427.52288619
15.51102204     0.05663455     0.54894824     86300902.74083984
15.57114229     0.05711844     0.53732132     84800434.12178284
15.63126253     0.05742618     0.52707643     83504750.07933186
15.69138277     0.05660014     0.51681564     82194051.75646846
15.75150301     0.05568372     0.50575529     80743200.98060176
15.81162325     0.05509253     0.49455461     79256381.72579797
15.87174349     0.05479591     0.48337181     77758786.83940907
15.93186373     0.05434939     0.47260586     76314876.92837726
15.99198397     0.05331714     0.46163309     74824323.70844080
16.05210421     0.05205993     0.45003009     73217863.70695329
16.11222445     0.05096806     0.43771530     71481022.32493839
16.17234469     0.05044550     0.42481322     69632908.19968277
16.23246493     0.05086680     0.41185290     67759489.82633314
16.29258517     0.05183623     0.39979583     66019432.15860897
16.35270541     0.05187876     0.38844644     64381973.18720198
16.41282565     0.05096496     0.37643141     62619952.85910828
16.47294589     0.04983234     0.36330292     60657385.43375760
16.53306613     0.04917288     0.34901095     58483853.42432892
16.59318637     0.04966424     0.33444860     56247432.06868779
16.65330661     0.05022181     0.32022344     54050176.80119999
16.71342685     0.05059740     0.30537519     51730035.98988967
16.77354709     0.05145966     0.28988875     49283301.77054350
16.83366734     0.05262486     0.27413146     46771483.09336779
16.89378758     0.05381816     0.25755220     44099718.12028283
16.95390782     0.05591154     0.24014290     41265117.62589800
17.01402806     0.05830419     0.22247914     38365421.01288137
17.07414830     0.06056069     0.20334849     35190344.71003018
17.13426854     0.06434890     0.18179401     31571023.32656316
17.19438878     0.07088924     0.15890958     27693659.60108132
17.25450902     0.08049020     0.13537567     23674823.79018730
17.31462926     0.09373688     0.11170449     19603216.74466737
17.37474950     0.11168215     0.08946632     15755116.82574072
17.43486974     0.13347017     0.07174577     12678227.38070199
17.49498998     0.15557386     0.05916380     10490912.35381696
17.55511022     0.17652636     0.05016398     8925634.26106903
17.61523046     0.19572500     0.04348154     7763129.08252443
17.67535070     0.21348023     0.03816501     6837178.87992561
17.73547094     0.23000824     0.03378118     6072410.02938347
17.79559118     0.24561212     0.03015285     5438564.52915120
17.85571142     0.26033639     0.02719754     4922099.00258103
17.91583166     0.27422181     0.02481174     4505445.08109794
17.97595190     0.28730390     0.02279040     4152286.52426390
18.03607214     0.29975748     0.02108184     3853843.38397422
18.09619238     0.31160506     0.01968022     3609612.68568295
18.15631263     0.32286358     0.01852971     3409886.39730715
18.21643287     0.33356473     0.01755923     3241995.06422800
18.27655311     0.34376609     0.01671696     3096671.91154808
18.33667335     0.35352077     0.01597241     2968483.36473013
18.39679359     0.36287028     0.01530952     2854613.05948231
18.45691383     0.37184820     0.01470927     2751653.13013840
18.51703407     0.38049119     0.01416000     2657530.05223282
18.57715431     0.38882595     0.01365682     2571415.26503972
18.63727455     0.39687474     0.01319314     2492150.02032906
18.69739479     0.40465808     0.01276338     2418746.38486030
18.75751503     0.41219431     0.01236320     2350442.68249900
18.81763527     0.41949972     0.01198913     2286631.02392445
18.87775551     0.42658883     0.01163831     2226814.15799200
18.93787575     0.43347463     0.01130837     2170574.31740232
18.99799599     0.44016889     0.01099723     2117555.29980106
19.05811623     0.44668220     0.01070316     2067451.92080342
19.11823647     0.45302425     0.01042461     2019998.58741993
19.17835671     0.45920386     0.01016025     1974964.17183637
19.23847695     0.46522910     0.00990890     1932145.31669745
19.29859719     0.47110745     0.00966956     1891367.01729495
19.35871743     0.47684574     0.00944126     1852465.39362314
19.41883767     0.48245034     0.00922321     1815301.54993189
19.47895792     0.48792711     0.00901466     1779747.53120354
19.53907816     0.49328155     0.00881495     1745690.43779140
19.59919840     0.49851874     0.00862347     1713025.19333763
19.65931864     0.50364344     0.00843969     1681661.29837883
19.71943888     0.50866011     0.00826313     1651515.68211072
19.77955912     0.51357292     0.00809332     1622508.00518997
19.83967936     0.51838578     0.00792986     1594569.75505995
19.89979960     0.52310238     0.00777237     1567637.59122602
19.95991984     0.52772619     0.00762051     1541652.89419303
20.02004008     0.53226048     0.00747396     1516559.29700983
20.08016032     0.53670835     0.00733244     1492309.90726470
20.14028056     0.54107272     0.00719566     1468857.41489487
20.20040080     0.54535635     0.00706339     1446161.32257276
20.26052104     0.54956189     0.00693539     1424180.07719735
20.32064128     0.55369181     0.00681144     1402878.44155587
20.38076152     0.55774849     0.00669135     1382221.48893634
20.44088176     0.56173418     0.00657493     1362180.09538617
20.50100200     0.56565104     0.00646201     1342723.27204855
20.56112224     0.56950110     0.00635242     1323821.78417032
20.62124248     0.57328633     0.00624602     1305453.41184009
20.68136272     0.57700858     0.00614266     1287593.70477854
20.74148297     0.58066964     0.00604220     1270217.72337609
20.80160321     0.58427121     0.00594452     1253305.33665204
20.86172345     0.58781493     0.00584951     1236839.31364388
20.92184369     0.59130237     0.00575705     1220798.03780681
20.98196393     0.59473502     0.00566704     1205164.43312795
21.04208417     0.59811431     0.00557938     1189922.30974080
21.10220441     0.60144165     0.00549398     1175056.20077641
21.16232465     0.60471834     0.00541075     1160551.45639200
21.22244489     0.60794567     0.00532960     1146394.05859979
21.28256513     0.61112485     0.00525047     1132570.67029135
21.34268537     0.61425710     0.00517326     1119068.48273283
21.40280561     0.61734352     0.00509792     1105877.06953686
21.46292585     0.62038522     0.00502436     1092982.93611816
21.52304609     0.62338327     0.00495255     1080378.36023241
21.58316633     0.62633867     0.00488239     1068049.05454247
21.64328657     0.62925241     0.00481385     1055988.14903529
21.70340681     0.63212545     0.00474687     1044187.37386697
21.76352705     0.63495870     0.00468138     1032635.38179106
21.82364730     0.63775305     0.00461736     1021326.34616147
21.88376754     0.64050935     0.00455473     1010249.58513358
21.94388778     0.64322844     0.00449347     999399.87015691
22.00400802     0.64591113     0.00443353     988768.82328957
22.06412826     0.64855819     0.00437486     978350.03636055
22.12424850     0.65117035     0.00431742     968135.64788632
22.18436874     0.65374838     0.00426118     958121.42904306
22.24448898     0.65629297     0.00420610     948299.95997287
22.30460922     0.65880480     0.00415215     938665.73838674
22.36472946     0.66128453     0.00409928     929211.73120288
22.42484970     0.66373283     0.00404748     919936.22178608
22.48496994     0.66615031     0.00399670     910830.83261390
22.54509018     0.66853757     0.00394692     901890.75997796
22.60521042     0.67089523     0.00389811     893113.05286328
22.66533066     0.67322383     0.00385025     884493.21554761
22.72545090     0.67552395     0.00380330     876025.15738450
22.78557114     0.67779612     0.00375724     867704.63873708
22.84569138     0.68004088     0.00371204     859529.24737103
22.90581162     0.68225874     0.00366769     851494.96549276
22.96593186     0.68445019     0.00362416     843596.18866162
23.02605210     0.68661572     0.00358143     835832.53996957
23.08617235     0.68875580     0.00353947     828196.90740276
23.14629259     0.69087091     0.00349827     820689.07375041
23.20641283     0.69296148     0.00345781     813303.84376646
23.26653307     0.69502794     0.00341806     806037.76617233
23.32665331     0.69707073     0.00337902     798889.19478804
23.38677355     0.69909027     0.00334066     791854.83244106
23.44689379     0.70108696     0.00330296     784933.17775743
23.50701403     0.70306118     0.00326591     778117.70057022
23.56713427     0.70501333     0.00322950     771410.39749239
23.62725451     0.70694378     0.00319370     764804.86662745
23.68737475     0.70885290     0.00315850     758301.54509594
23.74749499     0.71074105     0.00312390     751897.52643002
23.80761523     0.71260857     0.00308987     745588.26893276
23.86773547     0.71445581     0.00305640     739374.35783479
23.92785571     0.71628310     0.00302347     733251.35859370
23.98797595     0.71809076     0.00299108     727219.94392384
24.04809619     0.71987912     0.00295922     721275.76314345
24.10821643     0.72164848     0.00292787     715417.89016079
24.16833667     0.72339914     0.00289701     709643.73628447
24.22845691     0.72513141     0.00286664     703950.76854170
24.28857715     0.72684557     0.00283675     698339.86708068
24.34869739     0.72854191     0.00280733     692806.86456166
24.40881763     0.73022071     0.00277836     687351.00450404
24.46893788     0.73188222     0.00274984     681971.59292499
24.52905812     0.73352673     0.00272176     676666.23669289
24.58917836     0.73515449     0.00269411     671432.58892354
24.64929860     0.73676575     0.00266687     666268.32698934
24.70941884     0.73836077     0.00264004     661176.23926420
24.76953908     0.73993979     0.00261362     656150.66618170
24.82965932     0.74150304     0.00258758     651191.05600705
24.88977956     0.74305076     0.00256193     646296.87321195
24.94989980     0.74458318     0.00253666     641467.62122061
25.01002004     0.74610052     0.00251176     636701.10767107
25.07014028     0.74760300     0.00248722     631995.16910852
25.13026052     0.74909084     0.00246303     627351.06397318
25.19038076     0.75056425     0.00243919     622764.96351539
25.25050100     0.75202343     0.00241570     618238.16086138
25.31062124     0.75346858     0.00239253     613766.86183531
25.37074148     0.75489992     0.00236968     609350.68302233
25.43086172     0.75631762     0.00234717     604990.97651322
25.49098196     0.75772188     0.00232497     600685.69220773
25.55110220     0.75911289     0.00230307     596431.09056321
25.61122244     0.76049083     0.00228148     592230.26521292
25.67134268     0.76185588     0.00226018     588079.50007867
25.73146293     0.76320822     0.00223918     583978.50679627
25.79158317     0.76454801     0.00221846     579927.01347347
25.85170341     0.76587544     0.00219802     575923.03523148
25.91182365     0.76719067     0.00217785     571966.32091163
25.97194389     0.76849386     0.00215796     568056.62537681
26.03206413     0.76978517     0.00213833     564192.00999437
26.09218437     0.77106476     0.00211897     560373.96204410
26.15230461     0.77233280     0.00209985     556598.83536107
26.21242485     0.77358941     0.00208099     552866.43721293
26.27254509     0.77483476     0.00206238     549178.27893894
26.33266533     0.77606900     0.00204400     545530.74098139
26.39278557     0.77729226     0.00202587     541925.36937441
26.45290581     0.77850469     0.00200796     538358.54831420
26.51302605     0.77970643     0.00199029     534833.55744674
26.57314629     0.78089762     0.00197284     531346.80064290
26.63326653     0.78207838     0.00195562     527899.85626369
26.69338677     0.78324886     0.00193860     524489.12515389
26.75350701     0.78440918     0.00192181     521116.20282596
26.81362726     0.78555946     0.00190523     517780.96703207
26.87374749     0.78669985     0.00188885     514481.55755471
26.93386773     0.78783044     0.00187267     511216.13297060
26.99398798     0.78895138     0.00185670     507986.31114642
27.05410822     0.79006277     0.00184092     504791.98984072
27.11422846     0.79116474     0.00182534     501631.33228456
27.17434870     0.79225739     0.00180994     498502.50934253
27.23446894     0.79334085     0.00179473     495407.16268844
27.29458918     0.79441522     0.00177971     492345.21570076
27.35470942     0.79548062     0.00176487     489314.84226513
27.41482966     0.79653715     0.00175020     486314.21915742
27.47494990     0.79758491     0.00173571     483346.77027054
27.53507014     0.79862402     0.00172139     480407.18470855
27.59519038     0.79965457     0.00170724     477498.88910121
27.65531062     0.80067667     0.00169326     474620.07937051
27.71543086     0.80169041     0.00167945     471770.69744760
27.77555110     0.80269589     0.00166579     468948.93571790
27.83567134     0.80369322     0.00165229     466156.49442519
27.89579158     0.80468248     0.00163895     463391.57760821
27.95591182     0.80566375     0.00162576     460652.38271402
28.01603206     0.80663716     0.00161273     457942.37736082
28.07615231     0.80760277     0.00159984     455258.00958598
28.13627255     0.80856068     0.00158710     452599.24024501
28.19639279     0.80951098     0.00157451     449967.79904054
28.25651303     0.81045374     0.00156205     447360.12826218
28.31663327     0.81138906     0.00154974     444779.73380347
28.37675351     0.81231703     0.00153756     442221.27995846
28.43687375     0.81323772     0.00152553     439690.05218331
28.49699399     0.81415122     0.00151363     437180.71677493
28.55711423     0.81505759     0.00150186     434696.80274183
28.61723447     0.81595693     0.00149021     432234.73984304
28.67735471     0.81684932     0.00147870     429796.28363737
28.73747495     0.81773481     0.00146732     427381.43124880
28.79759519     0.81861351     0.00145605     424988.38016485
28.85771543     0.81948547     0.00144491     422617.12671521
28.91783567     0.82035077     0.00143390     420269.44622962
28.97795591     0.82120948     0.00142300     417941.75893955
29.03807615     0.82206168     0.00141222     415635.84583962
29.09819639     0.82290743     0.00140155     413349.91041492
29.15831663     0.82374681     0.00139100     411085.74447549
29.21843687     0.82457987     0.00138056     408841.55475625
29.27855711     0.82540670     0.00137023     406617.33697566
29.33867736     0.82622735     0.00136001     404414.89436171
29.39879760     0.82704188     0.00134990     402230.63483098
29.45891784     0.82785038     0.00133990     400066.35436802
29.51903808     0.82865288     0.00133000     397920.26233479
29.57915832     0.82944948     0.00132020     395794.16182912
29.63927856     0.83024020     0.00131051     393686.26149972
29.69939880     0.83102514     0.00130091     391596.56335814
29.75951904     0.83180433     0.00129142     389525.07948422
29.81963928     0.83257785     0.00128202     387471.81776901
29.87975952     0.83334575     0.00127271     385434.97056851
29.93987976     0.83410808     0.00126351     383418.18913266
30.00000000     0.83486491     0.00125439     381416.02849936

